dest,week,arriving_flights_per_week
ABE,1,200
ABE,2,180
ABE,3,171
ABE,4,182
ABE,5,171
ABE,6,178
ABE,7,185
ABE,8,194
ABE,9,184
ABE,10,202
ABE,11,211
ABE,12,206
ABE,13,211
ABE,14,239
ABE,15,241
ABE,16,237
ABE,17,237
ABE,18,196
ABE,19,230
ABE,20,228
ABE,21,234
ABE,22,227
ABE,23,244
ABE,24,253
ABE,25,254
ABE,26,257
ABE,27,225
ABE,28,264
ABE,29,263
ABE,30,263
ABE,31,257
ABE,32,266
ABE,33,263
ABE,34,240
ABE,35,227
ABE,36,220
ABE,37,227
ABE,38,231
ABE,39,227
ABE,40,240
ABE,41,245
ABE,42,245
ABE,43,244
ABE,44,225
ABE,45,243
ABE,46,233
ABE,47,228
ABE,48,229
ABE,49,224
ABE,50,225
ABE,51,214
ABE,52,191
ABI,1,90
ABI,2,74
ABI,3,73
ABI,4,76
ABI,5,76
ABI,6,75
ABI,7,73
ABI,8,63
ABI,9,69
ABI,10,71
ABI,11,70
ABI,12,71
ABI,13,70
ABI,14,74
ABI,15,73
ABI,16,79
ABI,17,78
ABI,18,78
ABI,19,85
ABI,20,85
ABI,21,84
ABI,22,83
ABI,23,82
ABI,24,84
ABI,25,86
ABI,26,87
ABI,27,76
ABI,28,82
ABI,29,89
ABI,30,89
ABI,31,89
ABI,32,89
ABI,33,87
ABI,34,88
ABI,35,81
ABI,36,85
ABI,37,86
ABI,38,83
ABI,39,85
ABI,40,85
ABI,41,85
ABI,42,86
ABI,43,84
ABI,44,85
ABI,45,85
ABI,46,85
ABI,47,81
ABI,48,78
ABI,49,84
ABI,50,87
ABI,51,85
ABI,52,76
ABQ,1,1175
ABQ,2,910
ABQ,3,901
ABQ,4,915
ABQ,5,888
ABQ,6,904
ABQ,7,907
ABQ,8,915
ABQ,9,923
ABQ,10,972
ABQ,11,975
ABQ,12,982
ABQ,13,983
ABQ,14,979
ABQ,15,995
ABQ,16,995
ABQ,17,1007
ABQ,18,1009
ABQ,19,1026
ABQ,20,1031
ABQ,21,1013
ABQ,22,1030
ABQ,23,1076
ABQ,24,1109
ABQ,25,1105
ABQ,26,1118
ABQ,27,1021
ABQ,28,1122
ABQ,29,1125
ABQ,30,1124
ABQ,31,1105
ABQ,32,1116
ABQ,33,1119
ABQ,34,1113
ABQ,35,1055
ABQ,36,1088
ABQ,37,1102
ABQ,38,1091
ABQ,39,1095
ABQ,40,1118
ABQ,41,1135
ABQ,42,1116
ABQ,43,1097
ABQ,44,1019
ABQ,45,1019
ABQ,46,1051
ABQ,47,1047
ABQ,48,998
ABQ,49,961
ABQ,50,954
ABQ,51,1075
ABQ,52,1024
ABR,1,31
ABR,2,28
ABR,3,28
ABR,4,25
ABR,5,27
ABR,6,26
ABR,7,26
ABR,8,26
ABR,9,27
ABR,10,25
ABR,11,27
ABR,12,28
ABR,13,28
ABR,14,26
ABR,15,23
ABR,16,28
ABR,17,28
ABR,18,28
ABR,19,28
ABR,20,28
ABR,21,27
ABR,22,28
ABR,23,28
ABR,24,28
ABR,25,28
ABR,26,28
ABR,27,27
ABR,28,28
ABR,29,28
ABR,30,28
ABR,31,28
ABR,32,28
ABR,33,28
ABR,34,28
ABR,35,28
ABR,36,28
ABR,37,28
ABR,38,28
ABR,39,28
ABR,40,28
ABR,41,27
ABR,42,32
ABR,43,38
ABR,44,34
ABR,45,34
ABR,46,34
ABR,47,32
ABR,48,24
ABR,49,29
ABR,50,26
ABR,51,28
ABR,52,24
ABY,1,34
ABY,2,39
ABY,3,36
ABY,4,40
ABY,5,37
ABY,6,39
ABY,7,36
ABY,8,39
ABY,9,40
ABY,10,39
ABY,11,40
ABY,12,40
ABY,13,40
ABY,14,40
ABY,15,39
ABY,16,39
ABY,17,40
ABY,18,40
ABY,19,40
ABY,20,40
ABY,21,38
ABY,22,40
ABY,23,40
ABY,24,40
ABY,25,38
ABY,26,39
ABY,27,36
ABY,28,38
ABY,29,39
ABY,30,40
ABY,31,32
ABY,32,39
ABY,33,39
ABY,34,38
ABY,35,38
ABY,36,30
ABY,37,40
ABY,38,39
ABY,39,39
ABY,40,40
ABY,41,38
ABY,42,40
ABY,43,40
ABY,44,38
