origin,crs_dep_hour,departing_flights_per_hour
ABE,0,103
ABE,3,2
ABE,7,24
ABE,8,287
ABE,9,680
ABE,10,538
ABE,11,778
ABE,12,1052
ABE,13,368
ABE,14,473
ABE,15,347
ABE,16,803
ABE,17,1916
ABE,18,581
ABE,19,131
ABE,20,329
ABE,21,868
ABE,22,1229
ABE,23,1202
ABI,1,1
ABI,8,1
ABI,10,482
ABI,11,47
ABI,12,372
ABI,13,225
ABI,14,2
ABI,15,362
ABI,16,344
ABI,17,186
ABI,18,386
ABI,19,555
ABI,20,164
ABI,21,608
ABI,22,27
ABI,23,442
ABQ,0,1117
ABQ,1,267
ABQ,6,21
ABQ,7,425
ABQ,8,1469
ABQ,9,2706
ABQ,10,2739
ABQ,11,5223
ABQ,12,4329
ABQ,13,2861
ABQ,14,3621
ABQ,15,2974
ABQ,16,2519
ABQ,17,3640
ABQ,18,2146
ABQ,19,2908
ABQ,20,2417
ABQ,21,3082
ABQ,22,4153
ABQ,23,5116
ABR,12,711
ABR,15,28
ABR,16,11
ABR,20,16
ABR,21,25
ABR,22,12
ABR,23,658
ABY,0,2
ABY,11,691
ABY,12,3
ABY,14,27
ABY,15,55
ABY,16,284
ABY,17,215
ABY,18,2
ABY,19,62
ABY,20,57
ABY,21,110
ABY,22,488
ACK,7,176
ACK,8,94
ACK,9,315
ACK,10,214
ACK,11,373
ACK,12,138
ACK,13,161
ACK,14,351
ACK,15,57
ACK,16,275
ACK,17,134
ACK,18,65
ACK,19,52
ACK,20,14
ACK,21,69
ACT,8,1
ACT,9,277
ACT,10,367
ACT,11,42
ACT,12,236
ACT,13,429
ACT,15,22
ACT,16,462
ACT,17,51
ACT,18,624
ACT,19,38
ACT,21,181
ACT,22,100
ACT,23,444
ACV,0,58
ACV,9,63
ACV,10,961
ACV,11,42
ACV,12,57
ACV,14,9
ACV,15,49
ACV,16,13
ACV,17,597
ACV,18,30
ACV,19,155
ACV,20,228
ACV,21,419
ACV,22,97
ACV,23,511
ACY,0,127
ACY,9,303
ACY,10,19
ACY,11,718
ACY,12,699
ACY,13,112
ACY,14,38
ACY,15,24
ACY,16,454
ACY,17,865
ACY,18,78
ACY,19,264
ACY,20,123
ACY,21,521
ACY,22,597
ACY,23,1355
ADK,15,33
ADK,16,166
ADQ,6,49
ADQ,7,474
ADQ,15,66
ADQ,16,638
AEX,0,2
AEX,8,1
AEX,9,772
AEX,10,341
AEX,11,756
AEX,12,35
AEX,13,362
AEX,14,342
AEX,15,644
AEX,16,528
AEX,17,711
AEX,18,7
AEX,19,92
AEX,20,461
AEX,21,391
AEX,22,986
AEX,23,126
AGS,0,481
AGS,1,11
AGS,6,1
AGS,8,224
AGS,9,590
AGS,10,637
AGS,11,510
AGS,12,835
AGS,13,229
AGS,14,832
AGS,15,905
AGS,16,639
AGS,17,595
AGS,18,764
AGS,19,528
AGS,20,742
AGS,21,296
AGS,22,511
AGS,23,825
AKN,16,124
ALB,0,1611
ALB,1,230
ALB,3,3
ALB,7,40
ALB,8,553
ALB,9,1721
ALB,10,1908
ALB,11,2224
ALB,12,2649
ALB,13,1816
ALB,14,1983
ALB,15,1552
ALB,16,2908
ALB,17,2761
ALB,18,2080
ALB,19,874
ALB,20,1192
ALB,21,2290
ALB,22,1543
ALB,23,3769
ALO,9,1
ALO,12,542
ALO,13,90
ALO,14,14
ALO,15,1
ALO,17,1
ALO,18,6
ALO,19,1
ALO,21,648
ALO,22,17
ALW,10,88
ALW,11,261
ALW,12,343
ALW,18,401
ALW,20,30
ALW,22,614
AMA,0,1
AMA,1,4
AMA,9,714
AMA,10,540
AMA,11,1332
AMA,12,642
AMA,13,827
AMA,14,353
AMA,15,994
AMA,16,1084
AMA,17,828
AMA,18,387
AMA,19,604
AMA,20,882
AMA,21,145
AMA,22,1305
AMA,23,951
ANC,0,1250
ANC,1,869
ANC,2,650
ANC,3,580
ANC,4,914
ANC,5,454
ANC,6,778
ANC,7,369
ANC,8,1309
ANC,9,1960
ANC,10,1627
ANC,11,563
ANC,12,1490
ANC,13,2497
ANC,14,3661
ANC,15,2321
ANC,16,1436
ANC,17,1375
ANC,18,1570
ANC,19,1567
ANC,20,3283
ANC,21,2526
