origin,week,leaving_flights_per_week
ABE,1,201
ABE,2,181
ABE,3,170
ABE,4,178
ABE,5,173
ABE,6,176
ABE,7,185
ABE,8,199
ABE,9,188
ABE,10,198
ABE,11,212
ABE,12,206
ABE,13,214
ABE,14,235
ABE,15,244
ABE,16,238
ABE,17,238
ABE,18,200
ABE,19,224
ABE,20,229
ABE,21,231
ABE,22,228
ABE,23,242
ABE,24,251
ABE,25,252
ABE,26,253
ABE,27,227
ABE,28,263
ABE,29,261
ABE,30,262
ABE,31,258
ABE,32,268
ABE,33,260
ABE,34,240
ABE,35,225
ABE,36,218
ABE,37,228
ABE,38,231
ABE,39,228
ABE,40,240
ABE,41,245
ABE,42,245
ABE,43,245
ABE,44,227
ABE,45,240
ABE,46,234
ABE,47,229
ABE,48,227
ABE,49,225
ABE,50,225
ABE,51,217
ABE,52,190
ABI,1,90
ABI,2,74
ABI,3,74
ABI,4,76
ABI,5,75
ABI,6,75
ABI,7,74
ABI,8,63
ABI,9,70
ABI,10,71
ABI,11,70
ABI,12,71
ABI,13,70
ABI,14,74
ABI,15,74
ABI,16,79
ABI,17,77
ABI,18,78
ABI,19,85
ABI,20,84
ABI,21,84
ABI,22,84
ABI,23,84
ABI,24,84
ABI,25,86
ABI,26,87
ABI,27,76
ABI,28,83
ABI,29,89
ABI,30,89
ABI,31,89
ABI,32,87
ABI,33,87
ABI,34,88
ABI,35,82
ABI,36,85
ABI,37,86
ABI,38,84
ABI,39,85
ABI,40,86
ABI,41,84
ABI,42,87
ABI,43,84
ABI,44,85
ABI,45,86
ABI,46,86
ABI,47,81
ABI,48,78
ABI,49,83
ABI,50,87
ABI,51,85
ABI,52,76
ABQ,1,1176
ABQ,2,904
ABQ,3,895
ABQ,4,911
ABQ,5,889
ABQ,6,900
ABQ,7,909
ABQ,8,914
ABQ,9,926
ABQ,10,969
ABQ,11,979
ABQ,12,981
ABQ,13,979
ABQ,14,971
ABQ,15,993
ABQ,16,991
ABQ,17,1002
ABQ,18,1002
ABQ,19,1028
ABQ,20,1032
ABQ,21,1011
ABQ,22,1025
ABQ,23,1074
ABQ,24,1109
ABQ,25,1100
ABQ,26,1107
ABQ,27,1022
ABQ,28,1124
ABQ,29,1117
ABQ,30,1126
ABQ,31,1108
ABQ,32,1113
ABQ,33,1118
ABQ,34,1110
ABQ,35,1057
ABQ,36,1082
ABQ,37,1093
ABQ,38,1083
ABQ,39,1093
ABQ,40,1118
ABQ,41,1125
ABQ,42,1113
ABQ,43,1091
ABQ,44,1014
ABQ,45,1030
ABQ,46,1048
ABQ,47,1051
ABQ,48,1006
ABQ,49,963
ABQ,50,951
ABQ,51,1071
ABQ,52,1018
ABR,1,30
ABR,2,28
ABR,3,28
ABR,4,24
ABR,5,27
ABR,6,26
ABR,7,26
ABR,8,27
ABR,9,27
ABR,10,26
ABR,11,27
ABR,12,28
ABR,13,28
ABR,14,28
ABR,15,24
ABR,16,28
ABR,17,28
ABR,18,28
ABR,19,28
ABR,20,28
ABR,21,27
ABR,22,28
ABR,23,28
ABR,24,28
ABR,25,28
ABR,26,28
ABR,27,27
ABR,28,28
ABR,29,28
ABR,30,28
ABR,31,28
ABR,32,28
ABR,33,28
ABR,34,28
ABR,35,27
ABR,36,28
ABR,37,28
ABR,38,28
ABR,39,27
ABR,40,28
ABR,41,28
ABR,42,32
ABR,43,38
ABR,44,34
ABR,45,34
ABR,46,34
ABR,47,32
ABR,48,25
ABR,49,29
ABR,50,27
ABR,51,28
ABR,52,25
ABY,1,34
ABY,2,39
ABY,3,36
ABY,4,40
ABY,5,37
ABY,6,40
ABY,7,37
ABY,8,39
ABY,9,40
ABY,10,40
ABY,11,40
ABY,12,40
ABY,13,40
ABY,14,40
