date,delay,origin_city_name,dest_city_name,origin_weather,dest_weather
2019-01-02,-12.0,"Houston, TX","Chicago, IL","Rain, Overcast",Partially cloudy
2018-03-19,0.0,"Dallas-Fort Worth, TX","Fort Lauderdale, FL",Clear,"Rain, Partially cloudy"
2019-11-20,-2.0,"Salt Lake City, UT","Detroit, MI","Rain, Partially cloudy",Partially cloudy
2018-05-08,-23.0,"Santa Ana, CA","Salt Lake City, UT",Partially cloudy,Clear
2019-03-18,18.0,"Chicago, IL","Rochester, NY",Partially cloudy,"Snow, Partially cloudy"
2018-03-23,10.0,"Detroit, MI","Louisville, KY",Clear,Partially cloudy
2018-10-24,-19.0,"Nashville, TN","Fort Lauderdale, FL",Partially cloudy,Partially cloudy
2018-09-30,-10.0,"New Orleans, LA","Charlotte, NC","Rain, Partially cloudy",Partially cloudy
2018-02-02,21.0,"Salt Lake City, UT","Chicago, IL",Partially cloudy,Partially cloudy
2019-10-04,-13.0,"Minneapolis, MN","Milwaukee, WI",Overcast,Partially cloudy
2018-07-13,-5.0,"Portland, OR","Reno, NV",Clear,Partially cloudy
2019-12-22,34.0,"Chicago, IL","Charlotte, NC",Partially cloudy,"Rain, Partially cloudy"
2018-02-23,-5.0,"Detroit, MI","Philadelphia, PA","Rain, Partially cloudy","Rain, Overcast"
2019-05-20,32.0,"Los Angeles, CA","Seattle, WA",Partially cloudy,"Rain, Partially cloudy"
2018-03-17,10.0,"Orlando, FL","San Francisco, CA",Clear,"Rain, Partially cloudy"
2019-05-31,-14.0,"Jackson-Vicksburg, MS","Charlotte, NC",Clear,Partially cloudy
2019-05-28,-35.0,"New York, NY","Syracuse, NY",Rain,"Rain, Partially cloudy"
2019-02-20,18.0,"Los Angeles, CA","Portland, OR","Rain, Partially cloudy","Rain, Partially cloudy"
2018-12-03,-12.0,"Denver, CO","Pittsburgh, PA",Overcast,"Rain, Overcast"
2019-04-09,-11.0,"Chicago, IL","Tulsa, OK",Partially cloudy,Partially cloudy
2019-01-25,-25.0,"Chicago, IL","Las Vegas, NV","Snow, Partially cloudy",Clear
2018-05-05,-17.0,"Newark, NJ","Knoxville, TN",Partially cloudy,Partially cloudy
2018-08-12,-2.0,"Salt Lake City, UT","Sacramento, CA",Partially cloudy,Clear
2018-07-19,-10.0,"Seattle, WA","Ketchikan, AK",Overcast,Partially cloudy
